Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,1999-12-31_2025-09-30,20b,1,No,MR,0.92,0.92,0.18,0.18
RBC,5y,1999-12-31_2025-09-30,20b,1,No,MR,0.64,0.64,0.13,0.13
RBC,5y,1999-12-31_2007-12-31,20b,1,No,MR,0.48,0.48,0.33,0.33
RBC,10y,1999-12-31_2007-12-31,20b,1,No,MR,0.16,0.16,0.11,0.11
RBC,10y,2007-12-31_2009-12-31,20b,1,No,MR,-0.43,-0.43,-0.58,-0.58
RBC,5y,2007-12-31_2009-12-31,20b,1,No,MR,-0.5,-0.5,-0.68,-0.68
RBC,10y,2009-12-31_2019-12-31,20b,1,No,MR,1.3,1.3,0.75,0.75
RBC,20y,2009-12-31_2019-12-31,20b,1,No,MR,1.28,1.28,0.74,0.74
RBC,5y,2009-12-31_2019-12-31,20b,1,No,MR,1.05,1.05,0.6,0.6
RBC,5y,2019-12-31_2022-12-31,20b,1,No,MR,-0.29,-0.29,-0.35,-0.35
RBC,10y,2019-12-31_2022-12-31,20b,1,No,MR,-0.29,-0.29,-0.35,-0.35
RBC,20y,2019-12-31_2022-12-31,20b,1,No,MR,-0.29,-0.29,-0.35,-0.35
RBC,10y,2022-12-31_2025-09-30,20b,1,No,MR,0.27,0.27,0.64,0.64
RBC,20y,2022-12-31_2025-09-30,20b,1,No,MR,0.27,0.27,0.64,0.64
RBC,5y,2022-12-31_2025-09-30,20b,1,No,MR,0.03,0.03,0.06,0.06
