Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,1999-12-31_2025-09-30,10b,1,No,MOM,-0.51,-0.51,-0.1,-0.1
RBC,10y,1999-12-31_2025-09-30,20b,1,No,MOM,-0.92,-0.92,-0.18,-0.18
RBC,10y,1999-12-31_2025-09-30,30b,1,No,MOM,-1.17,-1.16,-0.23,-0.23
RBC,10y,1999-12-31_2007-12-31,10b,1,No,MOM,0.16,0.16,0.11,0.11
RBC,10y,1999-12-31_2007-12-31,20b,1,No,MOM,-0.16,-0.16,-0.11,-0.11
RBC,10y,1999-12-31_2007-12-31,30b,1,No,MOM,-0.27,-0.27,-0.19,-0.19
RBC,10y,2007-12-31_2009-12-31,10b,1,No,MOM,0.54,0.54,0.72,0.72
RBC,10y,2007-12-31_2009-12-31,30b,1,No,MOM,0.5,0.5,0.67,0.67
RBC,10y,2007-12-31_2009-12-31,20b,1,No,MOM,0.43,0.43,0.58,0.58
RBC,10y,2009-12-31_2019-12-31,20b,1,No,MOM,-1.3,-1.3,-0.75,-0.75
RBC,10y,2009-12-31_2019-12-31,30b,1,No,MOM,-1.4,-1.4,-0.81,-0.81
RBC,10y,2009-12-31_2019-12-31,10b,1,No,MOM,-1.42,-1.42,-0.82,-0.82
RBC,10y,2019-12-31_2022-12-31,20b,1,No,MOM,0.29,0.29,0.35,0.35
RBC,10y,2019-12-31_2022-12-31,10b,1,No,MOM,0.25,0.26,0.32,0.32
RBC,10y,2019-12-31_2022-12-31,30b,1,No,MOM,0.2,0.2,0.25,0.25
RBC,10y,2022-12-31_2025-09-30,10b,1,No,MOM,-0.16,-0.16,-0.38,-0.38
RBC,10y,2022-12-31_2025-09-30,20b,1,No,MOM,-0.27,-0.27,-0.64,-0.64
RBC,10y,2022-12-31_2025-09-30,30b,1,No,MOM,-0.32,-0.32,-0.76,-0.76
