Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,5y,1999-12-31_2007-12-31,30b,2,Yes,MR,1.94,1.95,0.42,0.42
RBC,5y,1999-12-31_2007-12-31,20b,2,Yes,MR,1.85,1.86,0.4,0.4
RBC,5y,1999-12-31_2007-12-31,10b,2,Yes,MR,1.37,1.37,0.3,0.3
RBC,5y,1999-12-31_2007-12-31,30b,1,Yes,MR,0.97,0.97,0.42,0.42
RBC,5y,1999-12-31_2007-12-31,30b,2,No,MR,0.94,0.94,0.33,0.33
RBC,5y,1999-12-31_2007-12-31,20b,1,Yes,MR,0.93,0.93,0.4,0.4
RBC,5y,1999-12-31_2007-12-31,20b,2,No,MR,0.92,0.92,0.33,0.33
RBC,10y,1999-12-31_2007-12-31,30b,2,Yes,MR,0.81,0.81,0.17,0.17
RBC,5y,1999-12-31_2007-12-31,10b,1,Yes,MR,0.68,0.68,0.3,0.3
RBC,10y,1999-12-31_2007-12-31,20b,2,Yes,MR,0.64,0.64,0.13,0.13
RBC,5y,1999-12-31_2007-12-31,30b,1,No,MR,0.47,0.47,0.33,0.33
RBC,5y,1999-12-31_2007-12-31,20b,1,No,MR,0.46,0.46,0.33,0.33
RBC,10y,1999-12-31_2007-12-31,30b,1,Yes,MR,0.4,0.4,0.17,0.17
RBC,10y,1999-12-31_2007-12-31,10b,2,No,MOM,0.37,0.37,0.13,0.13
RBC,10y,1999-12-31_2007-12-31,30b,2,No,MR,0.36,0.36,0.13,0.13
RBC,5y,1999-12-31_2007-12-31,10b,2,No,MR,0.34,0.34,0.12,0.12
RBC,10y,1999-12-31_2007-12-31,20b,1,Yes,MR,0.32,0.32,0.13,0.13
RBC,10y,1999-12-31_2007-12-31,20b,2,No,MR,0.29,0.29,0.1,0.1
BH,N/A,1999-12-31_2007-12-31,N/A,1,No,N/A,0.19,0.19,0.13,0.13
RBC,10y,1999-12-31_2007-12-31,10b,1,No,MOM,0.19,0.19,0.13,0.13
RBC,10y,1999-12-31_2007-12-31,30b,1,No,MR,0.18,0.18,0.13,0.13
RBC,5y,1999-12-31_2007-12-31,10b,1,No,MR,0.17,0.17,0.12,0.12
RBC,10y,1999-12-31_2007-12-31,20b,1,No,MR,0.14,0.14,0.1,0.1
RBC,10y,1999-12-31_2007-12-31,10b,2,Yes,MOM,0.0,0.01,0.0,0.0
RBC,10y,1999-12-31_2007-12-31,10b,1,Yes,MOM,0.0,0.0,0.0,0.0
RBC,10y,1999-12-31_2007-12-31,10b,1,Yes,MR,-0.0,-0.0,-0.0,-0.0
RBC,10y,1999-12-31_2007-12-31,10b,2,Yes,MR,-0.01,-0.01,-0.0,-0.0
RBC,10y,1999-12-31_2007-12-31,20b,1,No,MOM,-0.15,-0.14,-0.1,-0.1
RBC,5y,1999-12-31_2007-12-31,10b,1,No,MOM,-0.17,-0.17,-0.12,-0.12
RBC,10y,1999-12-31_2007-12-31,30b,1,No,MOM,-0.18,-0.18,-0.13,-0.13
RBC,10y,1999-12-31_2007-12-31,10b,1,No,MR,-0.19,-0.19,-0.13,-0.13
RBC,10y,1999-12-31_2007-12-31,20b,2,No,MOM,-0.29,-0.29,-0.1,-0.1
RBC,10y,1999-12-31_2007-12-31,20b,1,Yes,MOM,-0.32,-0.32,-0.14,-0.13
RBC,5y,1999-12-31_2007-12-31,10b,2,No,MOM,-0.35,-0.34,-0.12,-0.12
RBC,10y,1999-12-31_2007-12-31,30b,2,No,MOM,-0.37,-0.36,-0.13,-0.13
RBC,10y,1999-12-31_2007-12-31,10b,2,No,MR,-0.38,-0.37,-0.13,-0.13
RBC,10y,1999-12-31_2007-12-31,30b,1,Yes,MOM,-0.41,-0.4,-0.17,-0.17
RBC,5y,1999-12-31_2007-12-31,20b,1,No,MOM,-0.46,-0.46,-0.33,-0.33
RBC,5y,1999-12-31_2007-12-31,30b,1,No,MOM,-0.47,-0.47,-0.34,-0.33
RBC,10y,1999-12-31_2007-12-31,20b,2,Yes,MOM,-0.64,-0.64,-0.14,-0.13
RBC,5y,1999-12-31_2007-12-31,10b,1,Yes,MOM,-0.69,-0.68,-0.3,-0.3
RBC,10y,1999-12-31_2007-12-31,30b,2,Yes,MOM,-0.81,-0.81,-0.17,-0.17
RBC,5y,1999-12-31_2007-12-31,20b,2,No,MOM,-0.92,-0.92,-0.33,-0.33
RBC,5y,1999-12-31_2007-12-31,20b,1,Yes,MOM,-0.93,-0.93,-0.4,-0.4
RBC,5y,1999-12-31_2007-12-31,30b,2,No,MOM,-0.94,-0.94,-0.34,-0.33
RBC,5y,1999-12-31_2007-12-31,30b,1,Yes,MOM,-0.97,-0.97,-0.42,-0.42
RBC,5y,1999-12-31_2007-12-31,10b,2,Yes,MOM,-1.37,-1.37,-0.3,-0.3
RBC,5y,1999-12-31_2007-12-31,20b,2,Yes,MOM,-1.86,-1.86,-0.4,-0.4
RBC,5y,1999-12-31_2007-12-31,30b,2,Yes,MOM,-1.95,-1.95,-0.42,-0.42
