Model,Data Length,Horizon,Signal Lag,Leverage,Double Down,Strategy Type,Net PnL,Gross PnL,Net SR,Gross SR
RBC,10y,2022-12-31_2025-09-30,30b,2,Yes,MR,0.8,0.8,0.69,0.69
RBC,20y,2022-12-31_2025-09-30,30b,2,Yes,MR,0.8,0.8,0.69,0.69
RBC,10y,2022-12-31_2025-09-30,30b,2,No,MR,0.64,0.64,0.76,0.76
RBC,20y,2022-12-31_2025-09-30,30b,2,No,MR,0.64,0.64,0.76,0.76
BH,N/A,2022-12-31_2025-09-30,N/A,1,No,N/A,0.62,0.62,1.37,1.37
RBC,10y,2022-12-31_2025-09-30,20b,2,Yes,MR,0.56,0.56,0.48,0.48
RBC,20y,2022-12-31_2025-09-30,20b,2,Yes,MR,0.56,0.56,0.48,0.48
RBC,10y,2022-12-31_2025-09-30,20b,2,No,MR,0.54,0.54,0.64,0.64
RBC,20y,2022-12-31_2025-09-30,20b,2,No,MR,0.54,0.54,0.64,0.64
RBC,5y,2022-12-31_2025-09-30,30b,2,Yes,MR,0.41,0.42,0.27,0.28
RBC,10y,2022-12-31_2025-09-30,30b,1,Yes,MR,0.4,0.4,0.69,0.69
RBC,20y,2022-12-31_2025-09-30,30b,1,Yes,MR,0.4,0.4,0.69,0.69
RBC,5y,2022-12-31_2025-09-30,30b,2,No,MR,0.36,0.36,0.43,0.43
RBC,10y,2022-12-31_2025-09-30,10b,2,Yes,MR,0.34,0.34,0.28,0.28
RBC,20y,2022-12-31_2025-09-30,10b,2,Yes,MR,0.34,0.34,0.28,0.28
RBC,10y,2022-12-31_2025-09-30,10b,2,No,MR,0.33,0.33,0.38,0.38
RBC,20y,2022-12-31_2025-09-30,10b,2,No,MR,0.33,0.33,0.38,0.38
RBC,10y,2022-12-31_2025-09-30,30b,1,No,MR,0.32,0.32,0.76,0.76
RBC,20y,2022-12-31_2025-09-30,30b,1,No,MR,0.32,0.32,0.76,0.76
RBC,10y,2022-12-31_2025-09-30,20b,1,Yes,MR,0.28,0.28,0.48,0.48
RBC,20y,2022-12-31_2025-09-30,20b,1,Yes,MR,0.28,0.28,0.48,0.48
RBC,10y,2022-12-31_2025-09-30,20b,1,No,MR,0.27,0.27,0.64,0.64
RBC,20y,2022-12-31_2025-09-30,20b,1,No,MR,0.27,0.27,0.64,0.64
RBC,5y,2022-12-31_2025-09-30,30b,1,Yes,MR,0.21,0.21,0.27,0.28
RBC,5y,2022-12-31_2025-09-30,30b,1,No,MR,0.18,0.18,0.43,0.43
RBC,10y,2022-12-31_2025-09-30,10b,1,Yes,MR,0.17,0.17,0.28,0.28
RBC,20y,2022-12-31_2025-09-30,10b,1,Yes,MR,0.17,0.17,0.28,0.28
RBC,10y,2022-12-31_2025-09-30,10b,1,No,MR,0.16,0.16,0.38,0.38
RBC,20y,2022-12-31_2025-09-30,10b,1,No,MR,0.16,0.16,0.38,0.38
RBC,5y,2022-12-31_2025-09-30,10b,2,Yes,MOM,0.1,0.1,0.06,0.06
RBC,5y,2022-12-31_2025-09-30,20b,2,No,MR,0.05,0.05,0.06,0.06
RBC,5y,2022-12-31_2025-09-30,10b,1,Yes,MOM,0.05,0.05,0.06,0.06
RBC,5y,2022-12-31_2025-09-30,10b,2,No,MOM,0.04,0.04,0.05,0.05
RBC,5y,2022-12-31_2025-09-30,20b,1,No,MR,0.03,0.03,0.06,0.06
RBC,5y,2022-12-31_2025-09-30,10b,1,No,MOM,0.02,0.02,0.05,0.05
RBC,5y,2022-12-31_2025-09-30,20b,2,Yes,MR,0.0,0.0,0.0,0.0
RBC,5y,2022-12-31_2025-09-30,20b,1,Yes,MR,0.0,0.0,0.0,0.0
RBC,5y,2022-12-31_2025-09-30,20b,1,Yes,MOM,-0.0,-0.0,-0.0,-0.0
RBC,5y,2022-12-31_2025-09-30,20b,2,Yes,MOM,-0.0,-0.0,-0.0,-0.0
RBC,5y,2022-12-31_2025-09-30,10b,1,No,MR,-0.02,-0.02,-0.05,-0.05
RBC,5y,2022-12-31_2025-09-30,20b,1,No,MOM,-0.03,-0.03,-0.06,-0.06
RBC,5y,2022-12-31_2025-09-30,10b,2,No,MR,-0.04,-0.04,-0.05,-0.05
RBC,5y,2022-12-31_2025-09-30,10b,1,Yes,MR,-0.05,-0.05,-0.07,-0.06
RBC,5y,2022-12-31_2025-09-30,20b,2,No,MOM,-0.05,-0.05,-0.06,-0.06
RBC,5y,2022-12-31_2025-09-30,10b,2,Yes,MR,-0.1,-0.1,-0.07,-0.06
RBC,10y,2022-12-31_2025-09-30,10b,1,No,MOM,-0.16,-0.16,-0.38,-0.38
RBC,20y,2022-12-31_2025-09-30,10b,1,No,MOM,-0.16,-0.16,-0.38,-0.38
RBC,10y,2022-12-31_2025-09-30,10b,1,Yes,MOM,-0.17,-0.17,-0.29,-0.28
RBC,20y,2022-12-31_2025-09-30,10b,1,Yes,MOM,-0.17,-0.17,-0.29,-0.28
RBC,5y,2022-12-31_2025-09-30,30b,1,No,MOM,-0.18,-0.18,-0.43,-0.43
RBC,5y,2022-12-31_2025-09-30,30b,1,Yes,MOM,-0.21,-0.21,-0.28,-0.28
RBC,10y,2022-12-31_2025-09-30,20b,1,No,MOM,-0.27,-0.27,-0.64,-0.64
RBC,20y,2022-12-31_2025-09-30,20b,1,No,MOM,-0.27,-0.27,-0.64,-0.64
RBC,10y,2022-12-31_2025-09-30,20b,1,Yes,MOM,-0.28,-0.28,-0.48,-0.48
RBC,20y,2022-12-31_2025-09-30,20b,1,Yes,MOM,-0.28,-0.28,-0.48,-0.48
RBC,10y,2022-12-31_2025-09-30,30b,1,No,MOM,-0.32,-0.32,-0.76,-0.76
RBC,20y,2022-12-31_2025-09-30,30b,1,No,MOM,-0.32,-0.32,-0.76,-0.76
RBC,10y,2022-12-31_2025-09-30,10b,2,No,MOM,-0.33,-0.33,-0.38,-0.38
RBC,20y,2022-12-31_2025-09-30,10b,2,No,MOM,-0.33,-0.33,-0.38,-0.38
RBC,10y,2022-12-31_2025-09-30,10b,2,Yes,MOM,-0.34,-0.34,-0.29,-0.28
RBC,20y,2022-12-31_2025-09-30,10b,2,Yes,MOM,-0.34,-0.34,-0.29,-0.28
RBC,5y,2022-12-31_2025-09-30,30b,2,No,MOM,-0.36,-0.36,-0.43,-0.43
RBC,10y,2022-12-31_2025-09-30,30b,1,Yes,MOM,-0.4,-0.4,-0.69,-0.69
RBC,20y,2022-12-31_2025-09-30,30b,1,Yes,MOM,-0.4,-0.4,-0.69,-0.69
RBC,5y,2022-12-31_2025-09-30,30b,2,Yes,MOM,-0.42,-0.42,-0.28,-0.28
RBC,10y,2022-12-31_2025-09-30,20b,2,No,MOM,-0.55,-0.54,-0.64,-0.64
RBC,20y,2022-12-31_2025-09-30,20b,2,No,MOM,-0.55,-0.54,-0.64,-0.64
RBC,10y,2022-12-31_2025-09-30,20b,2,Yes,MOM,-0.56,-0.56,-0.48,-0.48
RBC,20y,2022-12-31_2025-09-30,20b,2,Yes,MOM,-0.56,-0.56,-0.48,-0.48
RBC,10y,2022-12-31_2025-09-30,30b,2,No,MOM,-0.64,-0.64,-0.76,-0.76
RBC,20y,2022-12-31_2025-09-30,30b,2,No,MOM,-0.64,-0.64,-0.76,-0.76
RBC,10y,2022-12-31_2025-09-30,30b,2,Yes,MOM,-0.8,-0.8,-0.69,-0.69
RBC,20y,2022-12-31_2025-09-30,30b,2,Yes,MOM,-0.8,-0.8,-0.69,-0.69
